      DATE         TIME     LAT.   LONG.  DEPTH    MAGNITUDE            
                   (GMT)    (N)    (E)    (km)       (Local)
 2021 JAN  9   08 28 12.2 38.4041 21.9951    8         2.3
 2021 JAN  9   09 20 44.1 37.5156 19.7525    4         2.5
 2021 JAN  9   09 42 17.5 35.6699 26.3736    5         3.0
 2021 JAN  9   10 29 40.6 35.6625 26.2729   10         2.8
 2021 JAN  9   10 49 17.2 37.7811 26.3644   11         2.6
 2021 JAN  9   12 17 48.8 39.8415 21.5300    8         1.9
 2021 JAN  9   13 14 56.2 38.3958 22.0006    4         0.6
 2021 JAN  9   13 20 31.5 38.9717 23.1514   12         2.6
 2021 JAN  9   13 49 28.5 39.7325 23.5130   17         2.1
 2021 JAN  9   14 42 07.8 38.1331 22.6277   13         2.3
 2021 JAN  9   14 49 50.5 37.4400 22.0995   16         2.0
 2021 JAN  9   14 51 09.5 37.4442 22.1310   11         1.7
 2021 JAN  9   16 56 28.5 38.9621 23.1656   11         1.9
 2021 JAN  9   17 56 05.6 38.4013 22.0692    8         1.3
 2021 JAN  9   18 18 06.6 38.1395 22.6131   13         1.3
 2021 JAN  9   20 18 44.1 39.7687 22.3224    5         2.1
 2021 JAN  9   20 39 50.3 38.0113 23.7730    6         0.7
 2021 JAN  9   20 43 19.0 38.6220 23.3611   12         1.4
 2021 JAN  9   20 59 51.8 38.4993 21.8404   15         2.1
 2021 JAN  9   21 03 57.7 38.3784 22.0573   10         1.1
 2021 JAN  9   21 11 33.7 38.7721 25.3816   29         2.6
 2021 JAN  9   21 19 00.2 39.9266 24.3343   19         2.4
 2021 JAN  9   21 42 17.6 35.5930 26.3351    9         2.7
 2021 JAN  9   22 20 46.2 35.6451 26.3068   16         2.5
 2021 JAN  9   22 37 50.8 38.1468 22.6241   13         1.6
 2021 JAN  9   22 50 11.3 35.6548 26.3136    7         2.1
 2021 JAN  9   22 53 32.9 35.6410 26.3118   18         3.3
 2021 JAN  9   23 01 56.7 35.6790 26.2912   12         1.7
 2021 JAN  9   23 50 29.6 35.9436 28.5168   55         3.0
 2021 JAN  9   23 58 35.7 38.1377 22.6231   15         1.6
 2021 JAN 10   00 13 00.4 38.7538 20.5394   15         1.9
 2021 JAN 10   00 22 43.9 38.1541 22.6268   11         1.6
 2021 JAN 10   00 24 39.5 38.1413 22.6286   14         1.7
 2021 JAN 10   00 27 10.6 35.6644 26.3132   10         2.1
 2021 JAN 10   00 51 05.5 35.6442 26.2949   16         1.8
 2021 JAN 10   01 24 56.1 36.5314 27.0575    9         2.7
 2021 JAN 10   01 33 50.3 38.4966 20.5174   14         2.1
 2021 JAN 10   01 36 40.1 35.2899 26.3397   21         1.6
 2021 JAN 10   01 43 07.7 38.3757 22.0482    8         1.1
 2021 JAN 10   01 44 02.5 39.2111 21.6898   10         1.5
 2021 JAN 10   01 56 41.3 37.5279 21.6792   11         2.1
 2021 JAN 10   02 08 35.7 35.6461 26.3205   17         2.5
 2021 JAN 10   02 20 32.6 35.6635 26.3068   10         2.3
 2021 JAN 10   02 20 40.2 38.3698 22.0477    6         1.0
 2021 JAN 10   02 21 27.2 37.5627 21.0640   15         1.7
 2021 JAN 10   02 58 48.8 38.7369 21.1404   12         0.7
 2021 JAN 10   02 59 12.5 35.6552 26.2894   12         2.8
 2021 JAN 10   03 55 12.8 38.3839 22.0061    6         2.8
 2021 JAN 10   03 59 05.4 38.3917 22.0148   10         1.4
 2021 JAN 10   04 11 05.6 38.1459 22.6222    7         1.7
 2021 JAN 10   04 37 55.2 38.3977 22.0491    7         1.3
 2021 JAN 10   04 45 17.7 37.5966 21.9356   10         1.6
 2021 JAN 10   04 56 33.6 39.7234 23.7868   15         3.1
 2021 JAN 10   06 10 29.2 37.5517 20.6337   16         2.5
 2021 JAN 10   06 25 59.9 38.2375 23.9323   12         1.6
 2021 JAN 10   06 47 11.4 37.5778 20.6296    9         2.4
 2021 JAN 10   07 03 36.1 34.9846 24.9074   11         2.3
 2021 JAN 10   07 18 50.7 40.0447 23.5506   15         2.2
 2021 JAN 10   07 38 10.0 37.6776 24.1058   14         1.3
 2021 JAN 10   08 27 59.6 35.6735 26.2967    9         2.9
 2021 JAN 10   08 58 45.6 35.6900 25.8444   20         2.0
 2021 JAN 10   09 34 57.4 35.5893 26.3370   28         1.9
 2021 JAN 10   10 28 06.4 38.1441 22.6167   16         1.5
 2021 JAN 10   12 02 01.5 38.2979 22.4794   14         1.5
 2021 JAN 10   12 12 16.3 38.8985 23.0544   12         2.1
 2021 JAN 10   13 08 54.1 38.9035 23.0374   12         2.5
 2021 JAN 10   14 54 13.7 35.6406 26.3095   18         3.2
 2021 JAN 10   15 06 36.0 38.9067 23.0544    7         2.2
 2021 JAN 10   15 31 45.9 34.8720 24.1887   15         2.9
 2021 JAN 10   16 11 17.1 38.9200 23.0722   18         1.9
 2021 JAN 10   16 27 11.2 40.5441 22.5558   10         2.3
 2021 JAN 10   17 06 40.8 35.7642 21.7017   35         2.9
 2021 JAN 10   19 00 26.8 38.8651 22.9422   20         1.9
 2021 JAN 10   19 06 40.0 39.1237 21.6527   12         3.6
 2021 JAN 10   19 11 50.2 38.3853 22.0285    8         1.4
 2021 JAN 10   20 12 49.0 38.3849 22.0216    9         1.2
 2021 JAN 10   21 07 17.0 35.6351 26.3333   13         1.6
 2021 JAN 10   21 12 35.5 38.1514 22.6112   14         1.6
 2021 JAN 10   22 53 10.0 38.4572 21.3011   20         1.4
 2021 JAN 10   22 54 23.8 35.6268 26.3141   11         1.8
 2021 JAN 11   00 23 17.2 37.8662 26.8506   14         2.1
 2021 JAN 11   00 53 47.2 35.1498 23.7003   13         2.1
 2021 JAN 11   01 34 31.6 35.6259 26.3278   29         3.9
 2021 JAN 11   02 00 33.0 34.7845 23.9337   31         2.0
 2021 JAN 11   02 53 46.5 38.3839 22.0821   16         1.4
 2021 JAN 11   03 24 38.6 37.6328 21.1111   23         2.8
 2021 JAN 11   05 30 54.2 38.3931 21.9841   11         1.7
 2021 JAN 11   06 21 23.7 38.2489 22.6300   16         1.4
 2021 JAN 11   06 23 29.8 37.2949 20.5371   10         2.6
 2021 JAN 11   09 29 12.5 38.4032 22.0564    9         2.5
 2021 JAN 11   09 44 17.7 38.4045 21.9690    6         1.1
 2021 JAN 11   12 09 05.7 38.3794 22.0180   12         1.6
 2021 JAN 11   12 34 22.1 38.3995 22.0500    9         1.3
 2021 JAN 11   12 34 51.8 39.2867 20.9889    9         1.7
 2021 JAN 11   12 51 42.6 34.9864 23.8664   26         2.6
 2021 JAN 11   14 37 16.1 37.4606 20.5508   14         2.5
 2021 JAN 11   15 19 41.0 37.5266 20.5911   14         2.6
 2021 JAN 11   16 06 20.8 38.3968 22.0683   11         1.2
 2021 JAN 11   16 47 44.8 37.8008 27.0149   10         3.2
 2021 JAN 11   16 59 38.1 34.7159 25.2530    7         3.0
 2021 JAN 11   17 53 55.7 37.5774 23.4499   17         1.6
 2021 JAN 11   17 59 46.6 38.3940 22.0454    9         2.2
 2021 JAN 11   18 06 40.7 38.3917 22.0514    9         1.1
 2021 JAN 11   18 08 12.1 38.3684 21.9731   17         0.8
 2021 JAN 11   18 09 42.9 38.3839 22.0647    9         1.1
 2021 JAN 11   18 45 59.7 38.4956 21.3048   16         1.6
 2021 JAN 11   19 19 53.9 36.1276 22.2391    6         2.7
 2021 JAN 11   19 25 03.0 37.7998 23.3601   13         1.3
 2021 JAN 11   19 39 22.8 38.3899 22.0129    8         2.6
 2021 JAN 11   19 41 28.6 38.3867 22.0692    9         1.6
 2021 JAN 11   19 50 20.5 35.1114 23.6746   24         2.3
 2021 JAN 11   19 53 59.6 38.3995 22.0628    9         1.5
 2021 JAN 11   20 06 49.5 37.8172 23.3263    8         1.2
 2021 JAN 11   20 08 56.6 38.3876 22.0427    9         2.0
 2021 JAN 11   20 18 41.9 35.6754 26.5714   18         2.5
 2021 JAN 11   20 39 02.6 35.6918 26.5604   14         3.9
 2021 JAN 11   20 43 12.4 37.8159 23.2791   10         1.1
 2021 JAN 11   20 43 26.0 38.3794 22.0628   12         1.7
 2021 JAN 11   21 03 34.6 37.8136 23.2741   12         1.2
 2021 JAN 11   21 36 03.9 38.3867 22.0546    9         1.4
 2021 JAN 11   21 37 18.5 38.3977 22.0235    8         1.0
 2021 JAN 11   21 38 26.7 38.3839 22.0656    8         1.5
 2021 JAN 11   21 40 34.6 38.3885 22.0500   10         1.6
 2021 JAN 11   21 51 08.4 37.7298 23.3267   28         1.5
 2021 JAN 11   22 04 11.6 35.6570 26.5750   13         2.2
 2021 JAN 11   22 06 37.5 35.6955 26.5878    9         2.6
 2021 JAN 11   22 12 24.9 38.3995 22.0601   10         1.4
 2021 JAN 11   22 13 29.4 38.3963 22.0615    8         1.7
 2021 JAN 11   22 19 40.5 35.3801 25.5519   14         2.0
 2021 JAN 11   22 22 44.5 38.3922 22.0390    7         2.1
 2021 JAN 11   22 23 38.9 38.3304 23.4109    6         1.4
 2021 JAN 11   22 28 58.2 35.5417 26.5036   11         2.4
 2021 JAN 11   23 01 57.1 38.3871 22.0450    9         1.3
 2021 JAN 11   23 07 22.8 34.6866 24.9509   34         1.7
 2021 JAN 11   23 25 30.9 38.3794 22.0399    6         1.3
 2021 JAN 11   23 29 14.6 38.3849 22.0473   10         1.5
 2021 JAN 11   23 34 56.5 38.3812 22.0390    6         1.1
 2021 JAN 11   23 45 12.9 38.4032 22.0473    9         1.6
 2021 JAN 12   00 08 58.9 38.4027 22.0734   12         1.4
 2021 JAN 12   00 13 05.3 38.3835 22.0450    6         1.5
 2021 JAN 12   00 47 30.0 38.3876 22.0509   10         3.6
 2021 JAN 12   00 49 51.8 38.3908 22.0615   11         2.1
 2021 JAN 12   00 50 40.1 38.3798 22.0578   12         1.9
 2021 JAN 12   01 03 06.9 38.4013 22.0610   11         1.9
 2021 JAN 12   01 09 44.0 38.3949 22.0683   10         1.9
 2021 JAN 12   01 09 57.3 38.3913 22.0720    8         2.5
 2021 JAN 12   01 10 39.4 38.3913 22.0583   11         1.8
 2021 JAN 12   01 15 40.4 38.3858 22.0482   11         2.8
 2021 JAN 12   01 17 43.6 38.3913 22.0427   13         2.9
 2021 JAN 12   01 52 52.3 38.4000 22.0615   11         1.3
 2021 JAN 12   01 52 57.9 38.3958 22.0409    8         1.7
 2021 JAN 12   01 57 24.9 38.3904 22.0528   12         1.9
 2021 JAN 12   02 06 15.0 38.3995 22.0418   11         1.8
 2021 JAN 12   02 15 02.9 38.4013 22.0537    9         1.6
 2021 JAN 12   03 14 17.0 35.8557 21.6907   20         3.3
 2021 JAN 12   03 28 03.4 38.3981 22.0486   11         1.8
 2021 JAN 12   03 32 09.9 38.3949 22.0601   10         1.7
 2021 JAN 12   04 23 52.7 38.3995 22.0583   12         1.9
 2021 JAN 12   05 05 42.3 38.3963 22.0670   11         1.2
 2021 JAN 12   07 08 30.8 38.3963 22.0486    8         1.3
 2021 JAN 12   07 18 59.3 38.0745 23.3409    9         1.7
 2021 JAN 12   07 25 40.8 38.3949 22.0372    7         1.3
 2021 JAN 12   07 26 34.0 40.0433 19.7699    6         3.9
 2021 JAN 12   07 37 36.0 38.3931 22.0528    8         2.5
 2021 JAN 12   08 03 39.2 38.3839 22.0692   11         2.0
 2021 JAN 12   08 13 13.3 38.3867 22.0509    7         1.8
 2021 JAN 12   08 15 11.7 38.3853 22.0651   10         1.7
 2021 JAN 12   08 41 57.2 38.3940 22.0592   13         1.9
 2021 JAN 12   09 18 52.9 38.3876 22.0720    9         1.4
 2021 JAN 12   09 24 07.4 38.3913 22.0454   10         1.9
 2021 JAN 12   09 36 03.7 38.3977 22.0665   12         1.8
 2021 JAN 12   09 45 08.0 37.0724 23.9127   93         2.7
 2021 JAN 12   10 48 31.6 38.4032 22.0885    7         1.7
 2021 JAN 12   11 05 20.5 38.3908 22.0541    9         1.6
 2021 JAN 12   11 26 40.8 39.1177 21.6971   14         2.0
 2021 JAN 12   11 50 59.5 38.3867 22.0601    8         1.5
 2021 JAN 12   11 51 46.8 38.3995 22.0729   12         1.3
 2021 JAN 12   11 53 28.4 38.3762 22.0633   10         1.2
 2021 JAN 12   12 17 37.6 38.1262 23.3533   10         1.4
 2021 JAN 12   12 18 08.2 38.3858 22.0665   10         1.6
 2021 JAN 12   12 23 03.1 38.0956 23.3501    6         1.8
 2021 JAN 12   12 30 33.5 38.0754 23.3501   10         1.9
 2021 JAN 12   12 55 11.1 38.4004 22.0061    8         2.0
 2021 JAN 12   13 34 11.8 39.2482 22.9976   18         1.9
 2021 JAN 12   13 49 25.5 38.0099 20.2982    6         2.9
 2021 JAN 12   14 11 33.0 37.3947 21.0233   13         2.1
 2021 JAN 12   15 09 15.8 38.0626 23.3290    8         1.3
 2021 JAN 12   15 10 15.5 38.0823 23.3313    7         1.7
 2021 JAN 12   15 43 12.1 37.6401 20.2817    6         2.4
 2021 JAN 12   16 07 18.8 38.4366 22.3013    5         1.0
 2021 JAN 12   16 07 54.7 38.3849 22.0473    8         1.3
 2021 JAN 12   16 10 38.2 34.9265 25.2127   16         1.7
 2021 JAN 12   16 29 21.5 38.4622 25.6247   16         2.6
 2021 JAN 12   16 42 11.0 38.3849 22.0638    9         1.7
 2021 JAN 12   18 03 50.6 38.2819 22.0111   12         1.2
 2021 JAN 12   18 15 36.7 38.3849 22.0207    6         0.8
 2021 JAN 12   18 15 54.8 38.4004 22.0564   10         1.3
 2021 JAN 12   18 22 37.1 38.3890 22.0468    8         1.1
 2021 JAN 12   19 37 31.7 35.2176 24.0738   18         2.3
 2021 JAN 12   20 34 46.1 38.4023 21.9658    5         1.5
 2021 JAN 12   20 52 43.7 38.1477 20.5403   11         3.1
 2021 JAN 12   21 11 42.6 38.0077 21.5511    7         1.5
 2021 JAN 12   22 09 56.0 38.3958 22.0509    5         4.8
 2021 JAN 12   22 15 19.9 38.3949 22.0683    8         2.7
 2021 JAN 12   22 15 59.9 38.4018 22.0340    7         2.3
 2021 JAN 12   22 17 51.6 38.3849 22.0006    9         2.7
 2021 JAN 12   22 18 27.2 38.4073 21.9937    6         2.6
 2021 JAN 12   22 22 18.1 38.3904 22.0683    9         2.1
 2021 JAN 12   22 23 47.2 38.3931 22.0638    9         3.0
 2021 JAN 12   22 24 23.6 38.3977 22.0436   10         2.6
 2021 JAN 12   22 25 42.1 34.2105 25.5899    7         3.1
 2021 JAN 12   22 27 01.3 38.3849 22.0518    7         2.9
 2021 JAN 12   22 29 37.4 38.3908 22.0578   11         4.4
 2021 JAN 12   22 32 56.0 38.3977 22.0482    6         4.0
 2021 JAN 12   22 37 03.9 38.3665 22.0830    6         3.4
 2021 JAN 12   22 40 51.7 38.3986 22.0088    7         3.1
 2021 JAN 12   22 43 17.1 38.3784 22.0775   13         2.6
 2021 JAN 12   22 43 27.2 38.3995 22.0253    9         2.9
 2021 JAN 12   22 47 33.2 38.3908 22.0761    8         2.3
 2021 JAN 12   22 56 47.2 38.4087 22.0564    8         4.4
 2021 JAN 12   22 59 47.3 38.3803 22.0848    9         3.6
 2021 JAN 12   23 04 05.9 38.4105 21.9933    9         2.2
 2021 JAN 12   23 05 09.9 38.3986 22.0354    7         3.4
 2021 JAN 12   23 09 05.4 38.3876 22.0345    6         2.6
 2021 JAN 12   23 13 22.6 38.3931 22.0363    9         1.9
 2021 JAN 12   23 14 29.3 38.3839 22.0647    8         2.5
 2021 JAN 12   23 15 11.3 38.3762 22.0065    9         2.1
 2021 JAN 12   23 16 39.3 38.3734 22.0917   10         2.3
 2021 JAN 12   23 18 19.7 38.3936 22.0459   16         2.8
 2021 JAN 12   23 35 53.9 38.3931 22.0335   12         2.4
 2021 JAN 12   23 38 39.7 38.3784 22.0189    5         2.1
 2021 JAN 12   23 39 29.6 38.3977 22.0720    9         2.3
 2021 JAN 12   23 42 19.2 38.3821 22.0253    9         2.8
 2021 JAN 12   23 58 43.8 38.4059 22.0235   11         3.2
 2021 JAN 13   00 12 41.4 38.4096 22.0299   10         2.4
 2021 JAN 13   00 14 02.9 38.3885 22.0811    8         2.6
 2021 JAN 13   00 15 06.5 38.3762 22.0706    8         2.1
 2021 JAN 13   00 18 25.6 38.3986 22.0610   12         2.9
 2021 JAN 13   00 49 08.4 38.3890 22.0743    9         2.4
 2021 JAN 13   00 51 22.2 38.3945 22.0468   10         1.8
 2021 JAN 13   00 56 27.3 38.3981 22.0688   11         2.3
 2021 JAN 13   01 00 00.4 38.3913 22.0180    7         1.8
 2021 JAN 13   01 00 24.4 38.3885 22.0720    8         2.5
 2021 JAN 13   01 01 50.0 38.3871 22.0706    9         1.9
 2021 JAN 13   01 06 38.7 38.3931 22.0619   11         2.2
 2021 JAN 13   01 06 49.4 38.3762 22.0450    7         2.3
 2021 JAN 13   01 07 46.3 38.4032 21.9878    8         1.7
 2021 JAN 13   01 25 59.5 38.3812 22.0738   11         2.5
 2021 JAN 13   01 28 43.2 38.3688 22.0963    9         1.7
 2021 JAN 13   01 47 57.8 38.3775 22.0674    7         2.4
 2021 JAN 13   01 50 26.7 38.4004 21.9850    8         1.5
 2021 JAN 13   01 50 49.5 38.3720 22.0821    9         1.7
 2021 JAN 13   02 15 01.8 38.4210 21.9781    9         2.6
 2021 JAN 13   02 16 54.7 38.3876 22.0830   10         2.1
 2021 JAN 13   02 20 58.8 38.3766 22.0857   10         2.2
 2021 JAN 13   02 22 55.3 38.3931 22.0097    8         1.5
 2021 JAN 13   02 26 58.8 38.3821 22.0702    8         2.2
 2021 JAN 13   02 28 47.4 38.3821 22.0839    9         1.8
 2021 JAN 13   02 29 15.9 38.3867 22.0619    7         1.8
 2021 JAN 13   02 30 11.0 38.3748 22.0601    7         2.7
 2021 JAN 13   02 35 07.3 38.3839 22.0061    7         2.8
 2021 JAN 13   02 40 53.5 38.3702 22.0857    7         2.6
 2021 JAN 13   02 42 26.9 38.3780 22.0578    7         2.1
 2021 JAN 13   02 43 20.4 38.3817 22.0908   12         1.8
 2021 JAN 13   02 44 35.9 38.3762 22.0816   10         2.5
 2021 JAN 13   02 55 49.0 38.3835 22.0908    7         2.7
 2021 JAN 13   03 15 52.1 38.3711 22.0692   11         2.8
 2021 JAN 13   03 16 30.0 38.3821 22.0638    7         1.7
 2021 JAN 13   03 17 02.4 38.3638 22.0518    9         1.8
 2021 JAN 13   03 24 40.5 38.3894 22.0161    7         1.1
 2021 JAN 13   03 25 20.2 38.3766 22.1077    7         2.2
 2021 JAN 13   03 25 26.9 38.4659 20.5124   44         2.3
 2021 JAN 13   03 39 39.4 38.3620 22.0921    8         1.6
 2021 JAN 13   03 39 51.4 38.3885 21.9887   10         2.4
 2021 JAN 13   03 56 40.5 38.3940 22.0409   12         1.5
 2021 JAN 13   03 57 15.2 38.3743 22.0871   11         3.6
 2021 JAN 13   04 03 18.9 38.3794 22.0866   12         2.4
 2021 JAN 13   04 05 59.8 38.3995 22.0345   12         2.8
 2021 JAN 13   04 06 13.4 38.4123 22.0244    8         3.1
 2021 JAN 13   04 06 29.1 38.3963 22.0193    9         2.7
 2021 JAN 13   04 25 42.0 38.3913 22.0528    6         2.4
 2021 JAN 13   04 26 46.7 38.3638 22.0885    6         2.0
 2021 JAN 13   05 18 19.3 38.3945 22.0322   11         2.0
 2021 JAN 13   05 24 19.7 38.3821 22.0647    6         3.1
 2021 JAN 13   05 32 26.5 38.3720 22.0134    6         2.4
 2021 JAN 13   05 32 56.1 38.3812 22.0354    7         1.8
 2021 JAN 13   06 00 05.7 38.3693 22.0143    8         2.3
 2021 JAN 13   06 24 29.7 38.3720 22.0482    6         2.4
 2021 JAN 13   06 41 28.5 38.3711 22.0033    9         1.7
 2021 JAN 13   06 46 54.4 38.3711 22.0473    7         2.7
 2021 JAN 13   06 48 39.1 38.3707 22.0651   13         1.2
 2021 JAN 13   06 50 17.8 38.3794 22.0866   11         2.2
 2021 JAN 13   06 53 41.9 38.3702 22.0290    9         2.0
 2021 JAN 13   06 54 29.3 38.3830 22.0940    7         1.2
 2021 JAN 13   07 02 44.2 38.3940 22.0317   10         2.5
 2021 JAN 13   07 03 27.6 38.3583 22.1214    8         1.8
 2021 JAN 13   07 05 07.6 38.3794 22.0088    7         2.0
 2021 JAN 13   07 37 50.9 38.4059 22.0299    9         2.3
 2021 JAN 13   07 55 50.7 38.3702 22.0537    5         2.0
 2021 JAN 13   08 19 40.5 38.4050 21.9832    8         1.9
 2021 JAN 13   08 33 50.4 38.3739 22.0619   10         2.3
 2021 JAN 13   08 40 43.2 38.3711 22.0930   11         2.9
 2021 JAN 13   09 06 08.0 38.3839 22.0454   10         3.8
 2021 JAN 13   09 11 07.8 38.3867 22.0775   10         2.5
 2021 JAN 13   09 11 59.1 38.3798 22.0761    8         2.7
 2021 JAN 13   09 17 15.9 38.3922 22.0555    8         2.7
 2021 JAN 13   09 21 18.0 38.3803 22.0537    7         3.0
 2021 JAN 13   09 40 21.3 38.3908 22.0450   12         4.2
 2021 JAN 13   09 56 47.7 38.3798 22.0486   10         3.3
 2021 JAN 13   11 08 09.1 38.3583 22.0738   13         2.3
 2021 JAN 13   11 09 28.8 38.3720 22.0802   10         2.2
 2021 JAN 13   11 19 00.2 38.3739 22.0692   10         2.0
 2021 JAN 13   11 20 30.6 38.3945 22.0285    8         1.0
 2021 JAN 13   12 19 18.9 38.3835 22.0523    8         1.6
 2021 JAN 13   12 20 37.4 38.3931 21.9841    6         2.0
 2021 JAN 13   12 27 11.0 38.3968 22.0436   12         1.7
 2021 JAN 13   12 28 33.8 38.3675 22.0757    9         2.2
 2021 JAN 13   12 32 16.2 38.3849 22.0766   10         1.7
 2021 JAN 13   12 33 08.2 38.3675 22.0811    8         2.5
 2021 JAN 13   12 49 16.9 38.3821 22.0537    7         2.3
 2021 JAN 13   12 59 46.6 38.3885 22.0244    8         2.8
 2021 JAN 13   13 15 23.8 38.3922 22.0317    7         3.6
 2021 JAN 13   13 45 45.5 38.4068 21.9814    9         2.2
 2021 JAN 13   14 04 20.8 38.3885 22.0464    9         2.1
 2021 JAN 13   14 10 29.2 38.3748 22.0665    8         1.9
 2021 JAN 13   14 13 27.1 38.3908 22.0340   10         1.2
 2021 JAN 13   14 14 17.8 38.3931 22.0427   10         1.2
 2021 JAN 13   14 17 06.3 38.3904 22.0363    7         1.3
 2021 JAN 13   14 18 54.0 38.3858 22.0500   10         1.2
 2021 JAN 13   14 31 55.5 38.3624 22.0770    7         2.4
 2021 JAN 13   14 42 15.2 38.3849 22.0280    9         2.0
 2021 JAN 13   14 43 24.3 38.3812 22.0253   11         1.3
 2021 JAN 13   14 49 28.2 38.3931 22.0052    6         2.0
 2021 JAN 13   14 57 30.8 39.5123 20.5316   28         1.6
 2021 JAN 13   14 57 50.6 38.3894 22.0390    9         2.4
 2021 JAN 13   15 14 49.6 38.3757 22.0546    7         2.2
 2021 JAN 13   15 17 05.8 38.3904 21.9530   11         1.2
 2021 JAN 13   15 29 49.8 38.3958 22.0354   11         1.8
 2021 JAN 13   15 30 23.1 37.7815 21.9960   16         2.4
 2021 JAN 13   16 01 25.6 38.3730 22.0647   10         2.1
 2021 JAN 13   16 02 46.6 38.3876 22.0372    9         1.7
 2021 JAN 13   16 09 24.4 38.3885 22.0454    9         2.3
 2021 JAN 13   16 27 52.8 38.3638 22.0573   11         2.1
 2021 JAN 13   16 34 31.6 38.3885 22.0491    9         2.2
 2021 JAN 13   16 35 58.8 37.3425 20.6067   11         2.3
 2021 JAN 13   16 37 09.3 37.3581 20.6094   11         2.3
 2021 JAN 13   16 40 56.3 38.3995 22.0207   10         2.5
 2021 JAN 13   17 04 01.0 34.7269 24.7366   38         2.1
 2021 JAN 13   17 19 22.2 38.3940 22.0207   12         1.7
 2021 JAN 13   17 26 28.8 38.1633 22.5618   12         1.6
 2021 JAN 13   17 29 54.1 38.4091 22.0102    9         2.5
 2021 JAN 13   17 33 33.9 38.3748 22.0619   11         2.0
 2021 JAN 13   17 52 04.3 38.3931 22.0491    8         2.1
 2021 JAN 13   17 59 39.8 36.7264 21.7960   25         2.7
 2021 JAN 13   18 07 31.3 38.3931 22.0454   12         1.8
 2021 JAN 13   18 10 22.9 38.3821 22.0747    8         0.8
